"","O3","RH","SR","TOUT","WSR","O3P"
"331",67,24,0.032,25.35,4.8,60.125
"332",29,30,0.002,22.28,3.4,60.625
"333",16,36,0.001,19.5,1.3,57.875
"334",7,40,0.001,17.66,2.9,52.375
"335",3,46,0.001,16.17,1.9,44.75
"336",4,48,0.001,15.48,1.5,35.375
"337",3,53,0.001,14.61,1.2,25.25
"338",4,57,0.001,13.96,0.9,16.625
"339",3,59,0.001,13.06,0.9,8.625
"340",3,59,0.001,12.66,1,5.375
"341",3,55,0.001,13.09,0.7,3.75
"342",4,54,0.001,13.17,2.5,3.375
"343",25,28,0.001,18.72,6.8,6.125
"344",32,26,0.001,17.14,8.5,9.625
"345",26,30,0.009,15.7,9.1,12.5
"346",22,33,0.101,15.14,9.7,14.75
"347",25,35,0.256,15.24,10,17.5
"348",28,32,0.286,15.29,8.3,20.625
"349",33,28,0.475,16.03,6.5,24.375
"350",35,22,0.49,17.04,6.4,28.25
"351",35,20,0.464,17.44,4.6,29.5
"352",35,20,0.404,18.58,9.4,29.875
"353",34,20,0.351,17.92,8.8,30.875
"354",33,21,0.172,17.15,6,32.25
"355",32,20,0.034,16.36,4.7,33.125
"356",34,17,0.003,14.79,3.8,33.875
"357",32,18,0.001,13.7,5.2,33.75
"358",33,19,0.001,12.61,5.2,33.5
"359",33,20,0.001,12.04,5.1,33.25
"360",30,23,0.001,11.26,1.7,32.625
"361",21,27,0.001,10.01,2.5,31
"362",19,30,0.001,9.26,6.5,29.25
"363",22,34,0.001,8.33,6,28
"364",19,37,0.001,7.29,1,26.125
"365",15,41,0.001,6.29,1.3,24
"366",14,42,0.001,6.11,1.5,21.625
"367",16,43,0.001,5.75,0.7,19.5
"368",15,44,0.001,5.5,1.8,17.625
"369",7,47,0.008,4.69,1.3,15.875
"370",14,42,0.129,6.81,3.2,15.25
"371",24,30,0.308,10.43,7.8,15.5
"372",39,19,0.444,13.38,6.8,18
"373",41,17,0.534,15.91,1.1,21.25
"374",42,17,0.573,16.9,3.8,24.75
"375",47,17,0.551,17.96,3.5,28.625
"376",51,16,0.476,19.08,3.2,33.125
"377",52,14,0.359,20.52,1.1,38.75
"378",46,16,0.206,19.93,7.8,42.75
"379",44,20,0.035,17.4,5.2,45.25
"380",37,23,0.002,15.45,5,45
"381",20,30,0.001,13.41,6.1,42.375
"382",24,32,0.002,12.27,6.5,40.125
"383",22,33,0.001,11.82,5.4,37
"384",25,34,0.001,10.93,4,33.75
"385",16,38,0.001,9.23,3,29.25
"386",11,45,0.001,7.64,0.3,24.875
"387",7,50,0.001,6.65,0.8,20.25
"388",7,54,0.001,6.01,0.9,16.5
"389",4,57,0.001,5.4,0.6,14.5
"390",9,54,0.001,5.43,0.5,12.625
"391",4,55,0.001,5.18,1,10.375
"392",3,54,0.001,5.06,0.6,7.625
"393",3,53,0.007,5.05,1.2,6
"394",5,44,0.141,8.4,1.6,5.25
"395",7,29,0.319,14.6,1,5.25
"396",18,17,0.45,19.71,2.5,6.625
"397",31,13,0.541,21.49,4.2,10
"398",47,13,0.571,22.68,4.5,14.75
"399",54,11,0.552,24.12,3.6,21
"400",57,11,0.477,24.77,3.5,27.75
"401",61,11,0.363,24.55,8.6,35
"402",66,12,0.213,24.05,9.1,42.625
"403",67,14,0.039,22.31,12.1,50.125
"404",44,17,0.002,20.46,6.2,53.375
"405",44,18,0,18.63,5.2,55
"406",46,19,0.001,17.67,5.7,54.875
"407",24,26,0.001,14.89,5.6,51.125
"408",24,30,0.001,12.93,2.4,47
"409",12,35,0,11.02,0.6,40.875
"410",7,40,0.001,9.63,1.7,33.5
"411",7,44,0.001,8.68,0.7,26
"412",8,45,0.001,8.49,1.1,21.5
"413",11,46,0.001,9.13,2.7,17.375
"414",11,51,0.001,9.23,4.1,13
"415",9,54,0.001,9.27,3.9,11.125
"416",5,50,0.001,9.47,5.1,8.75
"417",3,49,0.007,9.34,2.7,7.625
"418",5,46,0.128,9.7,4.7,7.375
"419",9,34,0.297,14.99,3.5,7.625
"420",16,24,0.425,19.14,1.5,8.625
"421",21,22,0.497,21.19,4.1,9.875
"422",39,19,0.541,22.41,4.6,13.375
"423",56,18,0.508,24.68,2.8,19.25
"424",69,18,0.442,26.2,4.1,27.25
"425",75,17,0.328,27.16,3.6,36.25
"426",69,17,0.194,27.19,3.6,44.25
"427",69,19,0.041,24.86,5.5,51.75
"428",57,24,0.002,22.24,4.4,56.875
"429",34,30,0.001,19.45,7.2,58.5
"430",23,33,0.001,17.21,1.8,56.5
"431",10,37,0.001,15.71,2.1,50.75
"432",13,37,0.001,15.07,3.3,43.75
"433",14,40,0.001,14.14,2,36.125
"434",12,45,0.001,12.91,0.7,29
"435",8,50,0.001,12.06,1,21.375
"436",8,54,0.001,11.3,1.3,15.25
"437",19,53,0.001,11.92,4.1,13.375
"438",17,44,0.001,12.99,2.7,12.625
