"","O3","RH","SR","TOUT","WSR","O3P"
"8217",6,82,0.008,16.66,2.9,5.33333333333333
"8218",6,75,0.065,17.92,3.6,5.5
"8219",6,72,0.226,19.81,6,5.66666666666667
"8221",9,69,0.483,22.06,6.1,6.14285714285714
"8222",13,66,0.445,22.7,4.8,7.14285714285714
"8223",15,59,0.446,23.73,3.7,8.57142857142857
"8224",19,57,0.352,24.25,4.1,10.5714285714286
"8225",18,60,0.233,23.76,6.5,12.2857142857143
"8226",29,58,0.113,23.62,3.5,15.5714285714286
"8227",29,64,0.017,21.92,4.2,18.8571428571429
"8228",21,67,0.001,21.29,2.2,19.125
"8229",18,68,0.001,21.11,3,20.25
"8230",12,70,0.001,20.43,2.5,20.125
"8231",7,75,0.001,19.25,2,19.125
"8232",6,73,0.002,19.99,1.8,17.5
"8233",8,73,0.001,19.9,1.3,16.25
"8234",5,78,0.001,18.64,0.5,13.25
"8235",5,80,0.002,18.47,0.5,10.25
"8236",5,79,0.002,19.01,1.9,8.25
"8237",5,80,0.002,19,2.5,6.625
"8238",5,81,0.002,18.68,4.2,5.75
"8239",6,79,0.002,18.63,4.9,5.625
"8240",6,79,0.002,18.23,3.6,5.625
"8241",6,76,0.011,18.3,4.1,5.375
"8242",6,72,0.054,18.81,5,5.5
"8243",7,68,0.135,20.11,4.3,5.75
"8244",7,68,0.354,21.9,5.3,6
"8245",9,68,0.223,22.09,3.9,6.5
"8246",12,64,0.339,23.05,3.1,7.375
"8247",16,58,0.434,25.28,2.5,8.625
"8248",25,57,0.362,25.5,2.1,11
"8249",38,52,0.259,25.87,6.4,15
"8250",30,57,0.113,25.14,3.3,18
"8251",24,65,0.015,22.91,2.4,20.125
"8252",15,70,0.001,21.65,2.7,21.125
"8253",7,75,0.001,20.32,0.7,20.875
"8254",6,79,0.001,19.04,0.5,20.125
"8255",5,81,0.001,18.45,1.1,18.75
"8256",6,80,0.001,18.1,2.1,16.375
"8257",8,78,0.001,18.15,4.9,12.625
"8258",7,79,0.001,17.85,1.1,9.75
"8259",6,82,0.001,17.31,1.2,7.5
"8260",6,82,0.002,17.1,0.2,6.375
"8261",6,80,0.003,18.44,3.5,6.25
"8262",6,78,0.002,19.27,3.8,6.25
"8263",6,81,0.001,18.54,4.7,6.375
"8272",18,60,0.169,23.57,4.3,11.5
"8273",17,60,0.117,23.63,4.2,12.2857142857143
"8274",16,63,0.065,22.9,4.2,12.75
"8275",14,66,0.018,21.93,4.6,13.625
"8276",15,70,0.001,21,4.7,14.375
"8277",15,74,0.001,20.55,5.1,14.875
"8278",11,77,0.001,19.9,5.3,14.875
"8279",8,78,0.001,19.02,7.2,14.25
"8280",8,78,0.001,18.83,6.3,13
"8281",8,78,0.002,18.8,4.7,11.875
"8282",10,77,0.002,19,6,11.125
"8283",12,76,0.002,19.29,5.7,10.875
"8284",11,77,0.002,19.03,5.6,10.375
"8285",12,76,0.002,18.79,3.5,10
"8286",9,81,0.001,17.67,1.5,9.75
"8287",7,81,0.001,16.79,1.4,9.625
"8288",5,85,0.002,15.52,1,9.25
"8289",5,87,0.017,15.18,1.3,8.875
"8290",6,77,0.146,18.56,3,8.375
"8291",7,68,0.275,20.98,4.5,7.75
"8292",7,68,0.334,21.79,5.5,7.25
"8293",10,66,0.34,22.48,5.1,7
"8294",13,63,0.376,23.46,3.4,7.5
"8295",12,65,0.307,23.14,5.3,8.125
"8296",15,63,0.255,23.61,3.9,9.375
"8297",16,61,0.252,24.56,3.6,10.75
"8298",19,62,0.124,24.57,1.1,12.375
"8299",23,66,0.025,23.11,3.3,14.375
"8300",19,70,0.001,21.75,4.3,15.875
"8301",15,74,0.001,20.6,5.8,16.5
"8302",11,76,0.001,19.27,1,16.25
"8303",6,78,0.001,18.56,1.5,15.5
"8304",6,76,0.001,17.9,2.5,14.375
"8305",5,81,0.001,17.12,1.2,13
"8306",6,84,0.001,17.18,3.5,11.375
"8307",6,84,0.001,17.1,3.3,9.25
"8308",6,79,0,17.93,4.7,7.625
"8309",7,76,0.001,17.6,5.1,6.625
"8310",8,76,0.001,16.92,5.5,6.25
"8311",7,81,0.001,15.69,1.5,6.375
"8312",6,83,0.001,15.12,3.9,6.375
"8313",6,81,0.01,15.03,4.1,6.5
"8314",7,76,0.111,16.11,4.1,6.625
"8315",8,57,0.299,20.17,4.2,6.875
"8316",11,50,0.275,23.08,6.6,7.5
"8317",16,49,0.395,23.53,9.7,8.625
"8318",26,29,0.548,27.6,10.2,10.875
"8319",31,24,0.495,29.74,9.5,13.875
"8320",34,21,0.378,30.57,9.2,17.375
"8321",34,21,0.283,30.97,7.4,20.875
"8322",34,26,0.133,29.5,6.5,24.25
"8323",20,31,0.014,25.61,6.1,25.75
"8324",15,35,0.001,22.59,9.9,26.25
"8325",15,34,0.001,21.4,8.6,26.125
"8326",12,35,0.001,20.55,8,24.375
"8327",10,37,0.002,19.88,7.1,21.75
"8328",7,42,0.001,19.27,1.2,18.375
"8329",6,50,0.001,17.76,1.3,14.875
"8330",6,56,0.001,17.89,4.2,11.375
"8331",8,66,0.001,18.94,7.1,9.875
"8332",11,60,0.001,17.99,9.2,9.375
"8333",11,57,0.001,17.38,9.3,8.875
"8334",12,50,0.001,16.87,9.2,8.875
"8335",14,46,0.001,16.11,8.3,9.375
"8336",14,45,0.001,15.52,8,10.25
"8337",13,44,0.012,15.31,6.5,11.125
"8338",15,39,0.151,16.94,3.8,12.25
"8339",16,34,0.305,18.12,5.3,13.25
"8340",24,29,0.424,18.37,5.4,14.875
"8341",22,28,0.499,19.5,4.8,16.25
"8342",26,27,0.526,20.32,5.3,18
"8343",26,25,0.496,21.19,4.2,19.5
"8344",29,25,0.407,21.64,3.7,21.375
"8345",29,25,0.284,22.06,3.6,23.375
"8346",22,30,0.136,21.07,3.6,24.25
"8348",12,48,0.001,16.58,6.9,23.7142857142857
"8349",15,52,0.001,15.32,8.1,22.7142857142857
"8350",14,55,0.001,14.44,8.5,21
"8351",13,57,0.001,13.98,7.5,19.1428571428571
"8352",17,58,0.001,13.74,7.7,17.4285714285714
"8353",13,60,0.001,13.34,6.5,15.1428571428571
"8354",22,58,0.001,13.47,7.7,15.1428571428571
"8355",18,61,0.001,12.37,6.8,15.5
"8356",19,60,0.001,12.24,5.2,16.375
"8357",22,60,0.001,12.11,8.8,17.25
"8358",17,64,0.001,11.48,6.5,17.625
"8359",12,67,0.001,10.51,1.3,17.5
"8360",7,68,0.001,9.68,0.8,16.25
"8361",6,68,0.01,9.6,1.8,15.375
"8362",7,58,0.152,12.68,2.6,13.5
"8363",11,42,0.3,17,1,12.625
"8364",15,37,0.421,18.22,3.1,12.125
"8365",23,34,0.504,19.47,3.4,12.25
"8366",28,29,0.53,21.13,6.8,13.625
"8367",31,29,0.495,21.78,6.4,16
"8368",29,29,0.408,22.61,4.7,18.75
"8369",30,31,0.287,22.52,5.6,21.75
"8370",27,34,0.138,21.85,4.9,24.25
"8371",21,40,0.015,19.41,4.9,25.5
"8372",19,42,0.001,18.4,5.2,26
"8373",13,47,0.001,17.26,7,24.75
"8374",13,51,0.001,16.02,6.6,22.875
"8375",13,50,0.001,15.81,5.5,20.625
"8376",13,53,0.001,15.14,5.8,18.625
"8377",13,59,0.001,13.67,2.5,16.5
"8378",8,65,0.001,12.19,0.8,14.125
"8379",5,71,0.001,11.04,0.6,12.125
"8380",7,73,0.001,10.84,2,10.625
"8381",8,68,0.001,12.12,4.5,10
"8382",7,69,0.001,11.71,5.2,9.25
"8383",7,68,0.001,11.44,5.1,8.5
"8384",6,68,0.001,11.2,5,7.625
"8385",6,69,0.009,10.7,3.3,6.75
"8386",6,61,0.14,13.45,2.9,6.5
"8387",7,52,0.283,16.5,6.2,6.75
"8388",9,49,0.396,18.5,4.6,7
"8389",12,45,0.472,20.2,4.9,7.5
"8390",18,45,0.492,21.34,5.4,8.875
"8391",22,44,0.472,22.34,5.5,10.75
"8392",28,42,0.387,22.96,5.3,13.5
"8393",24,40,0.187,22.78,4.4,15.75
"8394",22,43,0.083,21.75,2.8,17.75
"8395",14,51,0.023,20.29,2.5,18.625
"8396",18,53,0.001,19.55,3.3,19.75
"8397",18,58,0.001,18.61,6.5,20.5
"8398",15,61,0.002,17.63,5.6,20.125
"8399",10,58,0.002,17.83,3.7,18.625
"8400",15,48,0.002,18.16,5.7,17
"8401",16,37,0.002,16.95,9,16
"8402",17,36,0.002,16.01,7.4,15.375
"8403",14,35,0.003,14.69,11.7,15.375
"8404",17,36,0.002,14.07,7.2,15.25
"8405",18,41,0.002,13.93,7.7,15.25
"8406",16,38,0.002,13.68,8.7,15.375
"8407",15,40,0.002,12.53,9.1,16
"8408",14,47,0.002,11.49,8.2,15.875
"8409",12,51,0.007,10.75,8.2,15.375
"8421",18,48,0.002,11.43,8.3,15.1666666666667
"8422",19,47,0.002,10.76,8.3,15.7142857142857
"8423",21,45,0.002,10.2,8.3,16.375
"8424",21,44,0.002,9.61,8.4,18.5
"8425",22,46,0.002,9.75,9.5,19.125
"8426",21,46,0.002,9.87,8.1,19.625
"8427",22,46,0.002,9.83,5.4,20.25
"8428",20,49,0.002,9.63,8.7,20.5
"8429",21,51,0.003,9.42,9.4,20.875
"8430",22,47,0.003,9.77,5.8,21.25
"8431",20,49,0.003,9.75,6.1,21.125
"8432",21,48,0.002,9.91,5.8,21.125
"8433",24,53,0.007,9.72,7.1,21.375
"8434",27,58,0.025,9.25,10.9,22.125
"8435",22,57,0.05,9.2,8.9,22.125
"8436",19,62,0.065,9.16,7.1,22
"8437",21,72,0.064,8.45,7.8,22
"8438",17,83,0.048,7.67,4.7,21.375
"8439",16,87,0.062,7.63,3.9,20.875
"8440",12,87,0.053,8.02,3.9,19.75
"8441",9,87,0.032,8.3,3.1,17.875
"8442",8,88,0.017,8.58,3.3,15.5
"8443",6,89,0.005,8.78,3.7,13.5
"8444",5,89,0.003,9,3.1,11.75
"8445",6,89,0.003,9.15,2.3,9.875
"8446",6,90,0.003,9.4,3.7,8.5
"8447",7,89,0.003,9.56,3.3,7.375
"8448",6,89,0.003,9.73,2.2,6.625
"8449",9,89,0.003,9.78,3.4,6.625
"8450",12,89,0.003,9.82,3.2,7.125
"8451",8,90,0.003,10.03,3.4,7.375
"8452",5,88,0.003,10.67,4.9,7.375
"8453",6,87,0.003,10.97,5.4,7.375
"8454",6,87,0.003,11.16,6.3,7.375
"8455",6,86,0.004,11.54,5.1,7.25
"8456",5,84,0.004,11.97,4.6,7.125
"8457",5,83,0.01,12.32,4.2,6.625
"8458",6,78,0.1,13.43,4.6,5.875
"8459",6,72,0.178,14.85,5.3,5.625
"8460",6,72,0.275,15.75,5.2,5.75
"8461",9,67,0.477,17.55,6.2,6.125
"8462",12,63,0.5,18.8,6.4,6.875
"8463",12,60,0.467,19.6,7.1,7.625
"8464",14,58,0.379,20.19,7.5,8.75
"8465",15,59,0.258,20.53,7.9,10
"8466",15,63,0.115,19.76,9.1,11.125
"8467",15,71,0.016,17.8,6.1,12.25
"8468",7,78,0.001,16.35,3.8,12.375
"8469",8,82,0.002,15.08,7.7,12.25
"8470",7,86,0.002,14.02,4.7,11.625
"8471",6,87,0.002,13.68,3.8,10.875
"8472",6,88,0.002,13.05,4.8,9.875
"8473",5,89,0.002,11.97,2.9,8.625
"8474",5,89,0.002,10.86,1.9,7.375
"8475",5,88,0.002,9.95,1.8,6.125
"8487",27,26,0.522,23.44,7.5,14.6666666666667
"8488",26,26,0.405,23.84,6.7,16.2857142857143
"8489",34,32,0.277,23.27,9.2,18.5
"8490",36,38,0.139,21.17,16.2,22.25
"8491",28,44,0.023,19.23,15.8,24.875
"8492",28,46,0.002,18.13,17,27
"8493",24,49,0.001,17.4,12.7,28
"8494",25,52,0.001,16.7,13.6,28.5
"8495",21,54,0.001,15.79,9.2,27.75
"8496",23,60,0.001,14.96,9.2,27.375
"8497",22,68,0.001,13.85,6.7,25.875
"8498",18,74,0.001,12.57,6.7,23.625
"8499",19,79,0.002,11.76,6.8,22.5
"8500",18,80,0.003,11.52,7.4,21.25
"8501",18,82,0.003,10.91,7.3,20.5
"8502",15,85,0.003,10.5,6,19.25
"8503",13,85,0.003,10.25,6.2,18.25
"8504",11,85,0.003,10.18,6.6,16.75
"8505",9,84,0.007,10.36,5.9,15.125
"8506",8,85,0.031,10.4,6,13.875
"8507",8,84,0.068,10.6,7.8,12.5
"8508",9,79,0.142,11.46,8.2,11.375
"8509",13,70,0.304,13.32,6.8,10.75
"8510",15,66,0.427,14.4,7.1,10.75
"8511",16,67,0.256,14.03,7.3,11.125
"8512",12,73,0.064,12.79,5.1,11.25
"8513",10,77,0.02,11.91,4.3,11.375
"8514",11,77,0.026,12.14,4.8,11.75
"8515",11,76,0.014,12.12,4.5,12.125
"8516",8,77,0.003,11.97,4.1,12
"8517",6,80,0.003,11.65,4.3,11.125
"8518",6,81,0.003,11.71,3.5,10
"8519",7,79,0.003,11.92,5.5,8.875
"8520",7,79,0.003,11.96,5.4,8.25
"8521",7,80,0.003,11.79,5.6,7.875
"8522",10,80,0.003,11.69,5.2,7.75
"8523",11,78,0.003,11.69,3.5,7.75
"8524",6,76,0.002,11.86,4.6,7.5
"8525",6,78,0.001,11.08,4,7.5
"8526",5,82,0.001,9.72,3.5,7.375
"8527",5,85,0.001,8.67,2.3,7.125
"8528",5,86,0.002,8.24,4.5,6.875
"8529",6,84,0.009,8.67,6.6,6.75
"8530",6,79,0.136,10.61,5.9,6.25
"8531",7,66,0.298,14.48,6.3,5.75
"8532",8,51,0.42,18.99,4.8,6
"8533",9,37,0.501,22.87,4.3,6.375
"8534",13,29,0.529,25.29,4.7,7.375
"8535",21,26,0.497,27.51,5.8,9.375
"8536",20,29,0.406,27.39,6.1,11.25
"8537",20,31,0.286,27.33,6,13
"8538",29,28,0.144,27.31,8.8,15.875
"8539",22,38,0.015,23.64,7.2,17.75
"8540",9,47,0.001,20.69,6.1,17.875
"8541",17,52,0.001,19.28,5,18.875
"8542",26,54,0.001,19.46,6.3,20.5
"8543",11,62,0.002,17.75,8.4,19.25
"8544",13,65,0.003,16.04,8.9,18.375
"8545",10,59,0.003,10.89,11.7,17.125
"8546",10,56,0.003,7.61,11.8,14.75
"8547",11,57,0.003,5.62,11.5,13.375
"8548",11,65,0.003,2.86,10.8,13.625
"8549",13,70,0.002,0.82,8.8,13.125
"8550",12,78,0.003,-0.54,10,11.375
"8551",12,77,0.002,-1.26,9.4,11.5
"8552",12,72,0.002,-1.55,9,11.375
"8553",12,67,0.005,-1.8,7.8,11.625
"8554",11,63,0.027,-1.69,7.4,11.75
"8555",11,57,0.065,-1.56,7.2,11.75
"8556",11,53,0.104,-1.09,8.3,11.75
"8557",12,51,0.136,-0.66,8.6,11.625
"8558",14,52,0.163,-0.05,7.3,11.875
"8559",14,50,0.157,0.57,6.9,12.125
"8560",15,47,0.14,1.14,5.4,12.5
"8561",15,45,0.103,1.25,5.8,12.875
"8562",17,46,0.062,1.26,5.6,13.625
"8563",11,53,0.017,1.28,5.5,13.625
"8564",10,58,0.002,1.02,7.9,13.5
"8565",9,63,0.002,0.84,7.3,13.125
"8566",9,65,0.002,0.68,7.1,12.5
"8567",9,67,0.002,0.5,6.7,11.875
"8568",11,60,0.002,0.37,5.2,11.375
"8569",13,56,0.002,0.22,5.9,11.125
"8570",12,67,0.002,-0.01,7.1,10.5
"8571",14,72,0.003,-0.95,7.1,10.875
"8572",17,64,0.002,-1.08,6.8,11.75
"8573",15,54,0.002,-1,4.3,12.5
"8574",16,42,0.002,-0.96,5.4,13.375
"8575",13,40,0.002,-0.85,5.1,13.875
"8576",14,35,0.002,-0.71,4.9,14.25
"8577",15,31,0.009,-0.54,4.1,14.5
"8578",13,31,0.063,-0.2,5.2,14.625
"8579",14,32,0.141,0.36,5.6,14.625
"8580",16,30,0.24,1.45,5.5,14.5
"8581",19,27,0.383,3.01,6.6,15
"8582",19,27,0.361,3.48,6.8,15.375
"8583",19,29,0.496,5.26,6.8,16.125
"8584",21,28,0.407,6.57,6.7,17
"8585",23,28,0.286,6.85,6.5,18
"8586",22,30,0.136,6.94,5.2,19.125
"8587",18,38,0.017,5,5.8,19.625
"8588",20,41,0.002,4.38,6,20.125
"8589",19,47,0.002,3.6,7.6,20.125
"8590",17,49,0.001,2.84,7.8,19.875
"8591",18,49,0.001,2.26,7.2,19.75
"8592",22,49,0.001,1.86,6.1,19.875
"8593",19,53,0.001,1.44,6.6,19.375
"8594",16,58,0.001,0.73,7.6,18.625
"8595",12,61,0.001,-0.06,3,17.875
"8596",8,55,0.001,-0.27,2.9,16.375
"8597",6,49,0.001,-0.26,3.1,14.75
"8598",8,62,0.001,-1.05,3.1,13.625
"8599",8,65,0.001,-1.22,3.1,12.375
"8600",8,66,0.001,-1.36,3.6,10.625
"8601",7,68,0.009,-1.6,2.8,9.125
"8602",8,58,0.126,1.31,3.5,8.125
"8603",13,42,0.283,4.42,5,8.25
"8604",16,34,0.412,6.99,5.4,9.25
"8605",20,29,0.497,8.5,6.8,11
"8606",26,25,0.522,9.68,7.3,13.25
"8607",27,24,0.489,10.54,7.6,15.625
"8608",27,23,0.404,11.54,7.1,18
"8609",29,23,0.284,12.19,6.3,20.75
"8610",29,24,0.142,12.39,6.1,23.375
"8611",30,33,0.016,10.49,5.6,25.5
"8612",30,37,0.001,9.03,6.3,27.25
"8613",27,42,0.001,7.83,8,28.125
"8614",19,48,0.001,6.3,5.6,27.25
"8615",14,53,0.001,4.94,3.8,25.625
"8616",18,54,0.001,4.55,6.2,24.5
"8617",23,52,0.001,4.65,10.1,23.75
"8618",19,54,0.001,3.92,5.2,22.5
"8619",10,59,0.001,2.88,3.2,20
"8620",11,63,0.001,2.21,2.5,17.625
"8621",9,65,0.001,1.96,2.7,15.375
"8622",7,65,0.001,1.84,2.9,13.875
"8623",6,68,0.001,1.43,2.4,12.875
"8624",6,69,0.002,1.78,3.3,11.375
"8625",6,67,0.008,2.49,3.4,9.25
"8626",6,59,0.137,5.95,2.9,7.625
"8627",7,40,0.293,11.16,4.3,7.25
"8628",14,25,0.419,15.59,4.2,7.625
"8629",19,22,0.503,19.13,4.6,8.875
"8630",19,23,0.532,19.88,6.1,10.375
"8631",19,23,0.49,20.55,8.2,12
"8632",22,22,0.407,21.61,7.8,14
"8633",20,21,0.289,22.95,7.4,15.75
"8634",18,21,0.144,22.41,7.8,17.25
"8635",17,29,0.017,18.84,6.1,18.5
"8636",13,34,0.001,17,5.7,18.375
"8637",18,36,0.001,15.97,5.9,18.25
"8638",6,43,0.001,14.25,3.4,16.625
"8639",6,54,0.001,12.06,2.5,15
"8640",5,60,0.001,10.76,2.6,12.875
"8641",5,66,0.001,9.33,2.3,11
"8642",5,65,0.001,9.2,3.8,9.375
"8643",6,67,0.001,8.88,3,8
"8644",5,66,0.001,7.65,2.5,7
"8645",7,58,0.001,6.72,2.5,5.625
"8646",6,58,0.001,6.4,2.5,5.625
"8647",5,64,0.001,5.54,2.2,5.5
"8648",5,64,0.001,5.67,3.6,5.5
"8649",5,65,0.008,5.31,2.1,5.5
"8650",6,59,0.136,8.5,3,5.625
"8651",9,39,0.294,14.53,2.7,6
"8652",19,27,0.421,16.55,5.2,7.75
"8653",27,25,0.505,17.35,6.8,10.25
"8654",25,23,0.533,18.48,6.6,12.625
"8655",24,22,0.502,19.21,7.1,15
"8656",31,22,0.423,20.66,6.5,18.25
"8657",40,23,0.308,20.33,9.9,22.625
"8658",35,24,0.161,19.67,9.8,26.25
"8659",30,30,0.016,16.9,7.4,28.875
"8660",23,33,0.001,15.49,6.5,29.375
"8661",31,34,0.001,15.16,8.2,29.875
"8662",31,37,0.001,14.39,9.1,30.625
"8663",19,44,0.001,12.63,7.3,30
"8664",14,49,0.001,11.6,6.8,27.875
"8665",19,54,0.001,10.37,6.5,25.25
"8666",18,57,0.001,9.56,4.4,23.125
"8667",13,62,0.001,8.51,3.5,21
"8668",9,70,0.001,7.09,1.9,19.25
"8669",7,72,0.001,6.42,2.2,16.25
"8670",6,75,0.001,5.7,2,13.125
"8671",5,76,0.001,5.36,2.5,11.375
"8672",6,73,0.001,5.77,3,10.375
"8673",6,72,0.008,5.7,2.9,8.75
"8674",6,61,0.145,9.44,3.5,7.25
"8675",8,40,0.307,15.53,4.2,6.625
"8676",9,27,0.429,20.57,4.4,6.625
"8677",12,19,0.51,25.25,4.5,7.25
"8678",18,16,0.54,27,5.8,8.75
"8679",27,18,0.507,27.92,6.3,11.5
"8680",37,16,0.422,29.61,5.8,15.375
"8681",38,14,0.303,29.96,5.6,19.375
"8682",34,15,0.161,28.99,8.3,22.875
"8683",35,22,0.016,25.04,7.5,26.25
"8684",25,25,0.001,22.98,7.1,28.25
"8685",18,30,0.001,20.04,7.2,29
"8686",12,33,0.001,17.93,5.6,28.25
"8687",9,36,0.001,16.12,4.4,26
"8688",7,40,0.001,15.13,3.7,22.25
"8689",6,46,0.001,14.28,4.4,18.25
"8690",6,44,0.001,14.8,5.4,14.75
"8691",7,42,0.001,15.37,7,11.25
"8692",7,40,0.001,15.19,7.6,9
"8693",7,42,0.001,14.98,6.8,7.625
"8694",9,38,0.001,15.85,6.6,7.25
"8695",8,39,0.001,15.27,5.4,7.125
"8696",14,22,0,21.91,7.7,8
"8697",15,19,0.009,22.32,7.3,9.125
"8698",18,18,0.149,23.5,8.8,10.625
"8699",14,16,0.313,25.34,6.8,11.5
"8700",16,14,0.299,26.81,5.2,12.625
"8701",18,13,0.325,27.45,6.6,14
"8702",15,13,0.252,26.87,6.7,14.75
"8703",21,12,0.281,27.49,4.8,16.375
"8704",22,12,0.165,27.02,4.1,17.375
"8705",20,14,0.095,26.47,3,18
"8706",8,25,0.051,23.93,2.9,16.75
"8707",7,29,0.031,23.25,4.4,15.875
"8708",6,37,0.001,20.17,3.7,14.625
"8709",5,43,0.001,17.84,2.3,13
"8710",5,48,0.001,16.08,1.9,11.75
"8711",5,51,0.002,15.54,2,9.75
"8712",5,51,0.002,15.5,2.7,7.625
"8713",6,51,0.002,15.3,3.4,5.875
"8714",5,55,0.002,14.72,3.3,5.5
"8715",6,56,0.002,14.86,3.9,5.375
"8716",12,55,0.002,15.67,4.8,6.125
"8717",9,58,0.002,15.08,4.3,6.625
"8718",16,56,0.002,15.31,9.2,8
"8719",13,60,0.002,14.81,9.4,9
"8720",10,62,0.002,14.3,6.6,9.625
"8721",6,61,0.009,13.66,4,9.625
"8722",6,57,0.102,14.82,3.7,9.75
"8723",8,42,0.282,19.28,4.5,10
"8724",9,32,0.399,22.18,5.9,9.625
"8725",12,27,0.391,23.1,6.7,10
"8726",13,26,0.188,22.6,5.2,9.625
"8727",14,27,0.179,23.07,4.2,9.75
"8728",17,27,0.193,23.86,5.1,10.625
"8729",24,27,0.128,24.16,7.9,12.875
"8730",25,28,0.088,23.58,8.2,15.25
"8731",15,32,0.018,21.84,5.1,16.125
"8732",20,36,0.001,20.6,5.4,17.5
"8733",16,45,0.001,19.54,6,18
"8734",12,46,0.001,17.68,7.3,17.875
"8735",12,48,0.002,17.58,7.1,17.625
"8736",14,53,0.001,16.53,7.4,17.25
"8737",19,55,0.001,16.32,8.1,16.625
"8738",15,60,0.001,15.07,5.7,15.375
"8739",17,63,0.001,14.33,6.3,15.625
"8740",12,66,0.001,13.46,3.2,14.625
"8741",10,71,0.001,12.39,2.7,13.875
"8742",7,74,0.001,11.44,2.2,13.25
"8743",6,77,0.001,10.92,2.1,12.5
"8744",6,77,0.002,10.83,2.7,11.5
"8745",5,76,0.007,11.02,3.4,9.75
"8746",7,70,0.13,13.47,4.1,8.75
"8747",10,51,0.285,19.13,2.9,7.875
"8748",16,43,0.407,21.53,4.2,8.375
"8749",19,38,0.491,23.58,4.9,9.5
"8750",21,37,0.523,24.38,6.6,11.25
"8751",30,35,0.496,25.66,6,14.25
"8752",30,32,0.417,26.82,5.2,17.25
"8753",32,29,0.306,27.7,6.9,20.625
"8754",29,31,0.166,27.17,6.6,23.375
"8755",25,37,0.015,23.82,6.3,25.25
"8756",15,43,0.001,21.34,5.3,25.125
"8757",16,47,0.001,19.29,7,24.75
"8758",13,50,0.001,18.4,5.2,23.75
"8759",14,52,0.001,18.22,5.1,21.75
"8760",11,57,0.001,16.66,3.6,19.375
"8761",6,64,0,15.05,1.2,16.125
"8762",6,69,0.001,14.23,2.2,13.25
"8763",6,73,0.001,13.5,2.1,10.875
"8764",7,70,0.001,13.23,3.2,9.875
"8765",6,71,0.001,12.38,2.6,8.625
"8766",6,74,0.001,11.53,2.2,7.75
"8767",6,75,0.001,10.9,2.1,6.75
"8768",6,73,0.002,10.88,2.9,6.125
"8769",8,70,0.007,11.37,3.2,6.375
"8770",8,60,0.137,14.52,2.9,6.625
"8771",13,42,0.295,19.9,4.2,7.5
"8772",13,30,0.418,25.39,3.5,8.25
"8773",19,21,0.503,28.84,5,9.875
"8774",22,19,0.528,30.37,5.4,11.875
"8775",35,18,0.496,31.24,5.8,15.5
"8776",39,15,0.421,32.58,5.2,19.625
"8777",36,15,0.31,32.34,10.1,23.125
"8778",42,18,0.158,30.99,11.7,27.375
"8779",36,24,0.024,28.07,7.3,30.25
"8780",41,28,0.002,26.08,6.3,33.75
"8781",34,32,0.001,24.31,6.9,35.625
"8782",31,35,0.001,22.9,7.8,36.75
"8783",30,37,0.001,22.03,8.7,36.125
"8784",26,38,0.001,21.93,8.7,34.5
"8785",14,45,0.001,20.32,4.5,31.75
"8786",10,54,0.001,18.21,3.5,27.75
"8787",8,62,0.001,17.16,4,24.25
"8788",8,64,0.001,17.53,5.8,20.125
"8789",8,62,0.001,17.86,7,16.875
"8791",7,66,0.001,16.22,4.4,11.5714285714286
"8792",6,67,0.001,15.12,5.4,8.71428571428571
"8793",6,65,0.012,15.05,4.7,7.57142857142857
"8794",6,57,0.061,16.77,5.3,7
"8795",12,51,0.176,19.55,11.1,7.57142857142857
"8796",13,43,0.37,22.69,7.2,8.28571428571429
"8797",17,31,0.402,26.42,6.7,9.57142857142857
"8798",25,25,0.363,28.67,4.4,11.5
"8799",34,23,0.395,29.62,4.6,14.875
"8800",32,22,0.297,29.89,6.9,18.125
"8801",29,24,0.229,29.46,8.9,21
"8802",26,26,0.11,28.71,6.9,23.5
"8803",27,30,0.031,26.85,6.5,25.375
"8804",9,36,0.002,24.3,6.6,24.875
"8805",11,37,0.001,22.33,8,24.125
"8806",11,34,0.001,21.33,6.5,22.375
"8807",13,35,0.001,20.35,7.4,19.75
"8808",11,37,0.001,19.39,6.2,17.125
"8809",8,41,0.001,18.08,4.7,14.5
"8810",6,50,0.001,16.11,3.4,12
"8811",6,51,0.001,15.87,3.9,9.375
"8812",6,53,0.001,15.17,3.5,9
"8815",11,24,0.001,22.1,7.2,8
"8816",10,24,0.001,22.02,6.8,7.83333333333333
"8817",8,24,0.006,21.77,6.1,7.83333333333333
"8818",7,33,0.125,18.86,8.6,8
"8819",8,31,0.303,19.16,9.7,8.33333333333333
"8820",9,27,0.427,21.52,8,8.83333333333333
"8821",11,23,0.523,24.22,7.3,9.14285714285714
"8822",11,20,0.518,25.89,7.7,9.375
"8823",25,17,0.506,28.54,7.5,11.125
"8824",33,17,0.427,29.25,8.3,14
"8825",38,18,0.309,28.86,9.5,17.75
"8826",36,19,0.166,28.26,7.8,21.375
"8827",34,24,0.022,25.27,8.2,24.625
"8828",29,26,0.002,23.38,7,27.125
"8829",18,29,0.001,21.65,5.3,28
"8830",16,32,0.001,20.05,7.9,28.625
"8831",15,36,0.001,18.5,7.8,27.375
"8832",14,40,0.001,16.97,6.6,25
"8833",18,40,0.001,16.55,8.8,22.5
"8834",17,40,0.001,16.02,7.5,20.125
"8835",20,42,0.001,15.38,6.2,18.375
"8836",15,46,0.001,14.29,4.6,16.625
"8837",13,48,0.001,13.59,3.7,16
