,O3
3274,-4.3560138710549765
655,-14.530740568504726
2009,1.0787644501279345
226,-2.9163637216767455
5048,-5.528370002710815
6805,-2.9222969805514794
7716,-16.834621317629242
2379,-6.470747947109956
7093,-16.767338869484107
6152,-4.138576038936932
3209,16.416602904858436
9301,-5.015154834439912
1870,8.080147096188128
5325,3.6392549066808186
1746,9.145122569376014
5813,-5.542152738482926
8026,1.535116786081673
2929,1.4025434898212126
296,-2.030433311254413
6912,-8.157222515682932
5844,-1.3134948131953763
8941,3.249175860185389
8493,3.1224156162062258
1167,-1.961835955944892
7569,-9.782766243933807
1156,-2.5721629200828886
4674,6.650114058619309
3411,-6.376025536645244
5688,6.870873169499802
6451,-10.38006231277923
9424,-8.212321327347652
2916,7.017774655904347
9929,19.59168975280049
4400,2.4890678294401027
1351,-12.390187645534823
4109,8.47624333934921
2892,-7.396888939672962
4398,-4.77048551796706
4174,-2.174128805264573
2923,-5.02019789782959
10017,-7.900911953897847
1043,-4.243763422172478
7367,-4.631732422647943
8590,0.6384002196344767
5354,-5.249150357066938
597,-4.940229987349724
9422,7.698354025224987
1567,10.107117825407713
9904,1.1600133429026442
1421,2.5722274943437213
4429,2.3658762655228855
5983,4.707575291706689
8514,5.752840820186449
3865,6.7977712007721465
5212,13.39177143366281
4197,-2.2244543700918626
7327,-6.616539869813167
6969,-8.754166172995738
6312,4.879900325372134
8217,-28.385207576572682
9260,2.725763439431759
3724,3.9294929707297257
1595,3.675714808787845
230,-5.140600068894017
4001,-4.117075567899988
4805,1.8334689429461122
1373,-4.799986430116363
7514,11.545749837666861
1402,-1.3908429861116787
9012,-9.301834331136078
4824,-2.1621303973220876
722,1.60069971028922
9885,-0.6446527170540577
4055,25.795868360514746
2457,6.731018166205942
9750,-6.995378106747339
2390,-6.772759503175692
1158,1.8126503641108087
528,-17.117030720851133
4631,-6.015711710694987
2994,2.512459324502956
5938,-6.986246630544443
3326,-5.369948474144067
579,1.5244514317120519
7570,-10.62397222034214
8455,3.899145857707879
5406,11.448221257825523
3291,-3.110236190624292
1507,-1.6709871175189477
1874,-4.951081715349147
1766,27.337664253428372
10136,4.622244999265703
9234,9.537603914216376
1468,5.214794831611798
4858,2.992857674102808
3611,-5.168317619163943
1201,-14.589381363945122
7466,-1.4786638959274825
6343,7.275342473114833
4907,-4.22585021282039
8871,6.515044934422164
6044,-4.42241378740421
3367,-8.794546424228727
2113,3.005779803514926
7789,7.533725079560682
7621,-6.372653220195389
5367,11.707749920002456
4434,-0.15237471898861088
5724,-3.3562992386320474
2648,-0.3252014930004208
1578,-0.38009631382392683
6046,-2.0965126449479072
8960,-8.645110460096546
6247,18.157406725377996
8346,1.5774952603813261
2201,9.236073455124753
8288,4.4891193182989895
9224,-6.655974770818247
1466,7.496888616561236
6940,7.844490556948912
4890,5.786686992372161
1091,-3.440953608932226
48,-15.456972507015841
5797,1.1205606984132714
3791,-7.177388604403021
7004,-23.459293337454326
4779,7.927355647325612
2839,-3.224185097525819
3043,3.0656094239759426
5951,-9.04720524919729
1103,5.135322546622817
8910,-7.24578808257202
7525,3.2569085923667416
256,2.106344193384004
1984,2.8352281650852973
5740,10.24575811464608
4900,24.680597086731254
7222,-11.262761903401454
2206,14.357506056533495
2103,8.755978920357776
8164,1.7637398837838418
9018,-8.867690358666223
4852,1.118076058203414
5447,5.336438020947398
2579,2.4108435043748813
6633,-11.531856068851155
9532,11.405123443080868
1872,10.867260634895743
8245,6.272749587132054
7409,3.5232566803816354
2458,5.34797025282289
2639,-5.5532040718126865
6284,-5.13589524815616
